pH,CEC,phosphorus,potassium,calcium,magnesium,lime_index,Treatment
6.2,7.9,34,106,989,175,69,T2
6.6,8,39,128,993,181,69,T2
6,8.7,35,117,905,172,68,T2
6.5,6.8,26,103,998,185,70,T2
6.3,5.8,40,87,861,153,70,T2
6.1,5.4,25,97,747,166,,T2
6.2,6.1,24,92,850,197,,T2
6,7.3,25,114,823,200,,T2
6,5.2,24,101,702,167,,T2
6.2,6.2,20,100,834,212,,T2
6.4,4.4,31,55,635,136,,T2
6.1,5.4,25,97,747,166,,T2
6.2,6.1,24,92,850,197,,T2
6,7.3,25,114,823,200,,T2
6,5.2,24,101,702,167,,T2
6.2,6.2,20,100,834,212,,T2
6.4,4.4,31,55,635,136,,T2
6.1,,31,130,1033,191,,T2
6.3,,26,112,1138,210,,T2
6.2,,34,144,1073,214,,T2
6,,30,129,903,188,,T2
6.1,,19,106,901,196,,T2
6.3,,29,73,840,167,,T2
6.1,,38,166,880,171,68,T2
6.2,,27,140,926,199,69,T2
6.1,,34,154,853,177,67,T2
5.9,,31,140,759,157,67,T2
5.9,,22,126,796,174,67,T2
6.2,,36,75,690,130,68,T2
6.1,5.6,33,113,799,152,70,T2
6,5.5,24,88,795,155,70,T2
5.9,6.6,34,110,788,147,69,T2
5.9,6.3,30,106,722,141,69,T2
5.8,5.8,21,91,642,136,69,T2
6.2,4.4,37,74,633,124,70,T2
6,7.7,31,124,949,174,69,T2
5.9,7.1,29,100,857,167,69,T2
5.8,9.5,32,134,830,163,67,T2
5.6,8.4,31,121,842,174,68,T2
5.7,8.3,19,109,833,173,68,T2
6.1,6.5,34,81,761,154,69,T2
6.2,7.1,30,105,869,151,69,T2
6.1,7.5,27,104,921,167,69,T2
5.8,8.3,33,114,857,155,68,T2
5.8,7.8,31,114,787,140,68,T2
5.9,8.2,20,100,857,154,68,T2
6.2,6.6,36,78,808,144,69,T2
6.2,8.8,55,139,904,179,68,T2
6,9.2,33,104,983,194,68,T2
6.1,9.3,46,148,968,204,68,T2
5.8,10.5,46,129,791,174,66,T2
6.2,7.7,30,102,903,206,69,T2
6.6,6.2,45,77,896,179,70,T2
6.3,7.3,36,124,857,183,,T2
6.2,7.1,31,101,824,128,,T2
6.2,7,38,126,807,171,,T2
6.1,6.6,36,151,718,165,,T2
6.2,6.9,22,101,796,173,,T2
6.5,5.3,36,74,764,157,,T2
6.4,7.7,39,125,,,,T2
6.3,7.6,32,98,,,,T2
6,8.2,40,129,,,,T2
6,8.2,38,126,,,,T2
6.1,7,23,105,,,,T2
6.5,5.2,42,74,,,,T2
6.1,7.4,33,122,,,,T2
6.1,7.4,31,96,,,,T2
5.9,6.9,35,112,,,,T2
5.8,8.3,31,190,,,,T2
6.2,7.5,21,94,,,,T2
6.4,5.2,32,72,,,,T2
6.7,9.3,38,150,,,,T2
6.4,9.7,20,125,,,,T2
6.3,9.6,34,150,,,,T2
6.1,9.1,38,150,,,,T2
7,10,20,125,,,,T2
6.8,8,30,75,,,,T2
6.5,7.3,39,143,,,,T2
6.5,7.4,33,132,,,,T2
6.4,7.4,38,140,,,,T2
6.1,7.6,36,150,,,,T2
6.4,7,30,119,,,,T2
6.5,6.4,41,92,,,,T2
6.6,7.1,33.5,133.5,,,,T2
6.8,7.8,26.5,114.5,,,,T2
6.2,7.2,30,152.5,,,,T2
6.5,7,33.5,157,,,,T2
6.3,7.2,18.5,114.5,,,,T2
6.7,6,34.5,94.5,,,,T2
6.6,6.5,40,105,,,,T2
6.6,5.8,28.5,66.5,,,,T2
6.4,6,33.5,120,,,,T2
6.4,6,34.5,110,,,,T2
6.6,6.3,21.5,83.5,,,,T2
6.5,5.2,40,55.5,,,,T2
6.5,6.5,33,126.5,,,,T2
6.7,6.5,30,90,,,,T2
6.4,6.8,36,158,,,,T2
6.2,6.2,33,137,,,,T2
6.3,6,18,105.5,,,,T2
6.3,5.4,30.5,70,,,,T2
6.2,6.3,49,200,850,187,,T2
6.5,7,30,115,1000,200,,T2
6,6.1,34,125,850,187,,T2
6.6,6.6,26,85,950,200,,T2
6.1,6.8,58,230,900,205,,T2
6.3,6.9,33,120,950,216,,T2
6,7.2,46,195,800,183,,T2
6.3,6.2,33,120,850,196,,T2
6.4,6.4,49,155,850,205,,T2
6.4,6.8,23,90,950,216,,T2
5.5,5.7,45,95,600,150,,T2
6,5.9,42,85,900,137,,T2
5.9,6.9,51,175,800,152,,T2
6.3,6.8,39,120,1000,179,,T2
6.1,6.6,42,135,950,184,,T2
6.6,6.7,32,89,1000,179,,T2
5.7,8.5,47,190,850,158,,T2
6.1,6.9,37,130,1000,189,,T2
6,7.3,45,180,850,168,,T2
6.2,6.3,36,125,900,179,,T2
6,6.4,31,165,900,179,,T2
6.1,6.9,24,105,1000,200,,T2
5.5,6.8,48,110,650,100,,T2
6.1,5.1,41,63,850,81,,T2
5.9,7,45,210,800,155,,T2
6.3,6,34,114,850,175,,T2
5.9,6.7,41,181,750,160,,T2
6.3,6,30,100,850,185,,T2
5.7,6.5,45,181,700,160,,T2
6.2,6.3,42,133,850,200,,T2
5.7,6.5,43,215,700,150,,T2
6,5,39,119,650,170,,T2
5.5,6.2,53,133,500,110,,T2
6,4.2,37,63,650,100,,T2
5.8,6.6,41,179,750,138,,T2
5.6,5.6,28,126,600,128,,T2
5.7,7,38,179,800,157,,T2
5.9,4.5,37,158,600,128,,T2
5.8,5.4,23,163,750,147,,T2
5.5,4.6,34,126,500,75,,T2
6.5,6.8,11.5,118,1010.5,167.5,,T2
6.5,6.9,32.5,109.5,1010.5,185.5,,T2
6.4,7.5,36.5,122,1094.5,200,,T2
6,8.7,41,109.5,884,189,,T2
6.8,,70,84,1052.5,196.5,71,T2
6,6.2,37.5,49,842,75,,T2
6.9,6.5,34,89,952.5,184,,T2
6.3,6.1,39,185.5,838,172,,T2
6.9,6.7,35,80,952.5,204,,T2
6.5,6.4,31,142,876,200,,T2
6.1,6.8,41,244,914.5,192,,T2
6.3,6.5,40,124.5,914.5,192,,T2
6.3,6.8,39,214.5,914.5,196,,T2
6.8,6.7,35,89,952.5,204,,T2
6.3,6.4,22,75.5,914.5,196,,T2
6.4,6,23.5,102,838,188,,T2
6.4,5.3,40,40,876,104,,T2
6,4.7,38,80,724,104,,T2
6.3,,53,181,838,152,,T2
6.7,,42.5,105.5,876,172,,T2
6.5,,41.5,134.5,838,180,,T2
6.8,,44,80,914.5,180,,T2
6.2,,45.5,206.5,838,172,,T2
6.4,,48.5,118,838,172,,T2
6.1,,47,177,800,164,,T2
6.2,,47,109.5,763.5,164,,T2
6.1,,27,151.5,800,156,,T2
6.5,,27,80,914.5,168,,T2
5.8,,42.5,122,691,92,,T2
6.3,,41.5,58,838,80,,T2
6,,58.5,172.5,800,171.5,,T2
6.7,,47.5,101,914.5,190.5,,T2
6.2,,47.5,122,800,198,,T2
6.8,,43.5,71,838,183,,T2
6.1,,60,172.5,800,196,,T2
6.6,,58.5,129,926.5,232,,T2
6,,50.5,164,760,184,,T2
6.3,,50.5,111,760,188,,T2
6.3,,29.5,134.5,763.5,192,,T2
6.7,,31,80,880,212,,T2
5.8,,50.5,80,654.5,124,,T2
6.4,,50.5,49,800,112,,T2
6.1,5.7,30,181,750,180,,T2
6.2,5.2,19,94,700,175,,T2
6.3,8.40256,23,118,1195,255,71,T3
6.3,6.49436,51,107,929,189,70,T3
6.2,8.05154,37,141,1183,213,70,T3
6.2,7.68051,23,138,1082,230,70,T3
6.2,7.41167,23,130,1044,223,70,T3
6.1,6.65385,37,99,1015,159,70,T3
6.9,7.1,23,101,1050,191,,T3
6.4,6.9,50,104,823,153,69,T3
6.6,6.5,38,115,985,156,70,T3
6.5,7.6,24,121,1109,205,70,T3
6.6,6.9,25,110,1019,184,70,T3
6.3,6.1,37,84,955,139,70,T3
6.5,5.8,15,80,806,193,,T3
6.4,5,37,87,682,167,,T3
6.4,5.6,25,96,793,161,,T3
6.4,6.2,18,106,838,209,,T3
6.4,6.3,16,93,852,216,,T3
6.4,5.5,27,74,795,155,,T3
6.5,5.8,15,80,806,193,,T3
6.4,5,37,87,682,167,,T3
6.4,5.6,25,96,793,161,,T3
6.4,6.2,18,106,838,209,,T3
6.4,6.3,16,93,852,216,,T3
6.4,5.5,27,74,795,155,,T3
6.5,,16,92,902,184,,T3
6.4,,46,106,846,180,,T3
6.4,,28,116,930,177,,T3
6.3,,17,113,984,191,,T3
6.3,,19,119,1029,204,,T3
6.3,,28,89,970,168,,T3
6.4,,19,121,879,181,69,T3
6.2,,51,156,795,167,68,T3
6.3,,34,156,911,180,69,T3
6.3,,20,137,854,192,69,T3
6.2,,19,138,902,205,69,T3
6.2,,34,97,780,158,69,T3
5.9,5.1,19,85,720,148,70,T3
5.8,6.7,49,96,627,105,68,T3
6.1,5.5,34,121,779,153,70,T3
5.9,5.4,23,127,754,151,70,T3
5.8,6.9,20,114,815,165,69,T3
6.1,5.5,33,93,816,137,70,T3
5.9,6.7,16,106,777,163,69,T3
5.8,7.2,45,108,684,137,68,T3
6.1,7.2,33,131,859,160,69,T3
5.9,7,19,134,808,168,69,T3
5.8,8.1,20,115,809,166,68,T3
6,7,34,99,867,149,69,T3
6,7.5,17,105,928,172,69,T3
5.9,6.5,46,99,771,138,69,T3
6.2,7.6,34,115,958,163,69,T3
6,7.2,19,111,884,160,69,T3
5.9,8.3,19,99,863,160,68,T3
6.1,7.4,36,96,933,149,69,T3
6.1,7.3,29,96,858,186,69,T3
5.9,8.6,64,100,696,146,67,T3
6.1,8.6,56,135,881,172,68,T3
5.9,8.5,28,125,857,179,68,T3
5.7,9.1,33,109,766,166,67,T3
6.1,6.5,63,111,758,147,69,T3
6.3,6.8,18,88,788,171,,T3
5.9,6.1,51,101,694,137,,T3
6.4,5.7,34,108,810,160,,T3
6.2,7.1,20,120,827,173,,T3
6,6.9,18,104,785,176,,T3
6.3,6.8,34,81,831,145,,T3
6.4,6.5,22,99,,,,T3
6.1,7.9,58,107,,,,T3
6.4,6.5,45,123,,,,T3
6.2,7.4,25,118,,,,T3
6,8.2,23,108,,,,T3
6.4,6.3,45,99,,,,T3
6.1,7.5,17,112,,,,T3
5.8,6.6,56,110,,,,T3
6.1,7.7,40,124,,,,T3
6,7.5,24,111,,,,T3
5.8,7.5,22,112,,,,T3
6.1,7,37,96,,,,T3
6.4,7.8,16,83,,,,T3
6.4,6.5,52,92,,,,T3
6.4,8.5,42.5,133,,,,T3
6.2,7.8,18,125,,,,T3
5.9,9.1,18,125,,,,T3
6.5,7.8,43,117,,,,T3
6.5,6.5,20,102,,,,T3
6.3,5.4,54,131,,,,T3
6.8,6.7,37,129,,,,T3
6.5,6.8,23,139,,,,T3
6.2,7.4,20,114,,,,T3
6.6,6.3,44,104,,,,T3
6.7,6.7,16,105,,,,T3
6.5,6.1,56.5,128.5,,,,T3
6.9,7.6,35.5,133.5,,,,T3
6.6,6.9,19.5,133.5,,,,T3
6.4,6.6,18.5,124,,,,T3
6.6,6.2,44,105,,,,T3
6.5,6.4,26.5,83.5,,,,T3
6.3,5,61.5,83.5,,,,T3
5.9,6.5,46.5,110,,,,T3
6.5,6,25,100,,,,T3
6.3,5.7,18.5,83.5,,,,T3
6.4,5.3,41.5,66.5,,,,T3
6.6,6.6,21,105.5,,,,T3
6.5,5.5,54.5,110.5,,,,T3
6.9,6.6,42.5,126.5,,,,T3
6.5,6.8,24,137,,,,T3
6.3,6.1,21,110.5,,,,T3
6.2,5.3,39,85,,,,T3
6.5,6.1,28,90,850,191,,T3
6,5.5,71,115,750,171,,T3
6.7,7,49,140,950,221,,T3
6.3,6.8,27,140,900,231,,T3
6.1,6.4,25,120,850,216,,T3
5.8,5.7,44,100,900,113,,T3
6.4,7,22,130,1000,194,,T3
6.4,6.3,60,125,900,173,,T3
6.7,6.8,45,130,1000,173,,T3
6.3,6.4,27,135,900,184,,T3
6.1,6.7,22,125,950,200,,T3
5.7,7.4,46,89,850,62,,T3
6.3,5.6,26,109,789,162,,T3
6.2,4.8,64,119,631,157,,T3
6.5,6.6,52,147,947,181,,T3
6.2,5.6,30,143,737,181,,T3
6,6.3,27,143,842,205,,T3
5.7,6.2,47,109,842,65,,T3
6.5,5.6,18,80,800,162,,T3
6.5,4.4,46,80,600,138,,T3
6.7,5.6,36,90,800,162,,T3
6.3,5.7,25,105,800,176,,T3
6.2,6.1,20,100,850,185,,T3
5.9,4.3,42.5,75,700,75,,T3
6.4,5.6,34.5,75.5,842,148,,T3
6.3,5.3,72.5,97,760,152,,T3
6.6,6.9,52,118,1010.5,185.5,,T3
6.5,7.2,24,105.5,1052.5,200,,T3
6.1,6.8,25,92.5,968.5,203.5,,T3
5.8,5.6,56.5,75.5,720,70,,T3
6.8,6.2,25,102,876,184,,T3
6.7,6.1,63.5,120,838,192,,T3
6.9,6.9,47.5,142,990.5,192,,T3
6.7,6.2,27.5,132,884,173.5,,T3
6.5,6.5,23,116,884,213.5,,T3
6.1,5,49,92,800,88,,T3
6.4,,51.5,248,914.5,160,,T3
6.4,,32.5,177,838,160,,T3
6.8,,23,109.5,1066.5,180,,T3
6.7,,31.5,80,876,172,,T3
6.4,,94,252,800,164,,T3
6.3,,89,198,727.5,164,,T3
6.6,,80,80,727.5,168,,T3
6.6,,77,88.5,727.5,144,,T3
6.7,,77,231.5,914.5,168,,T3
6.6,,80,240,838,156,,T3
7,,58,126.5,952.5,160,,T3
6.9,,62.5,113.5,990.5,180,,T3
6.4,,42.5,272,800,168,,T3
6.5,,40,223,876,184,,T3
6.7,,34.5,101,914.5,188,,T3
6.4,,31,118,952.5,188,,T3
6.3,,30,147.5,838,184,,T3
6.1,,30,189.5,876,188,,T3
6.3,,28,97,838,200,,T3
6.2,,29,101,876,192,,T3
6,,54.5,122,763.5,76,,T3
6,,68,172.5,800,76,,T3
6.1,,62.5,88.5,800,56,,T3
6.1,,56.5,92.5,926.5,72,,T3
7,,31,84,876,205.5,,T3
6.3,,47.5,214.5,800,198,,T3
6.7,,75,97,724,183,,T3
6.3,,103.5,210.5,762,190.5,,T3
7,,69,115.5,884.5,196,,T3
6.5,,83.5,223,884,212,,T3
6.7,,36,115.5,847,196,,T3
6.4,,49,223,842,200,,T3
6.4,,30,97,840,220,,T3
6.2,,39,224,880,224,,T3
5.9,,55,62,763.5,92,,T3
5.8,,67,143,763.5,116,,T3
6.1,7.69603,22,81,1146,211,70,T4
6.3,7.29128,27,72,1043,227,70,T4
6.2,7.84256,19,92,1143,227,70,T4
6.4,7.55244,21,90,1081,230,70,T4
6.2,7.66167,15,78,1099,236,70,T4
6.1,6.03321,35,37,911,166,70,T4
6.6,8.6,20,89,1136,185,69,T4
6.7,6.5,26,71,971,178,70,T4
6.5,7,21,79,1049,182,70,T4
6.7,7,24,79,1063,181,70,T4
6.4,7.5,23,72,1127,199,70,T4
6.5,5.6,32,37,874,139,70,T4
6.2,6.1,17,80,870,189,,T4
6.5,5.6,21,66,774,193,,T4
6.3,6.1,17,79,837,201,,T4
6.5,6.2,16,83,869,196,,T4
6.4,6.1,11,67,851,199,,T4
6.3,4.5,26,34,641,139,,T4
6.2,6.1,17,80,870,189,,T4
6.5,5.6,21,66,774,193,,T4
6.3,6.1,17,79,837,201,,T4
6.5,6.2,16,83,869,196,,T4
6.4,6.1,11,67,851,199,,T4
6.3,4.5,26,34,641,139,,T4
6.2,,19,113,1039,168,,T4
6.3,,25,89,918,185,,T4
6.2,,22,91,955,183,,T4
6.5,,20,107,1084,181,,T4
6.2,,14,88,1025,206,,T4
6.3,,32,45,877,189,,T4
6.2,,19,107,940,197,69,T4
6.3,,27,81,784,182,69,T4
6.2,,21,96,860,191,68,T4
6.2,,22,78,701,148,69,T4
6.2,,13,69,832,183,69,T4
6.3,,32,37,696,146,69,T4
6,4.8,18,74,683,146,70,T4
5.8,7.4,23,75,741,132,68,T4
5.9,7,18,93,862,154,69,T4
5.9,5.6,22,104,844,135,70,T4
5.8,7.7,14,88,968,169,69,T4
6.2,6.2,35,48,767,123,69,T4
5.9,6.5,19,93,799,132,69,T4
5.7,7.2,25,81,704,124,68,T4
5.7,7.6,20,88,770,133,68,T4
5.9,6.7,21,91,811,146,69,T4
5.8,7.2,13,84,880,161,69,T4
6.1,6.1,34,41,739,136,69,T4
5.9,7.9,22,94,1002,175,69,T4
5.8,7.7,25,73,794,139,68,T4
5.7,7.8,24,84,804,134,68,T4
5.9,7.9,26,87,826,139,68,T4
5.8,8.3,18,76,885,158,68,T4
6.1,4.6,34,33,514,93,69,T4
5.8,8.3,25,100,914,131,68,T4
5.7,8.8,34,86,770,139,67,T4
5.9,9.6,28,95,870,167,67,T4
5.9,8.3,35,105,863,157,68,T4
5.7,9.1,18,89,783,161,67,T4
6,6.1,43,45,725,142,69,T4
5.9,6.3,24,81,736,141,,T4
6.1,7.2,18,86,905,149,,T4
5.9,7.3,21,99,882,171,,T4
6,7.2,22,110,873,168,,T4
5.9,7.1,14,78,870,167,,T4
6.3,6.3,35,35,758,145,,T4
6.1,8.7,24,104,,,,T4
5.8,7.6,32,78,,,,T4
5.8,9.2,24,101,,,,T4
6.1,7.4,28,99,,,,T4
6,8.1,17,82,,,,T4
6.2,6.1,42,43,,,,T4
5.9,7.6,22,108,,,,T4
5.7,6.7,31,104,,,,T4
5.8,7.2,23,94,,,,T4
6,7.7,27,108,,,,T4
5.8,7.1,16,76,,,,T4
6.1,6.4,43,45,,,,T4
6,8.5,26,125,,,,T4
5.7,8.2,27,108,,,,T4
6.1,9.1,22,177,,,,T4
6,8.8,34,133,,,,T4
5.7,9,13,134,,,,T4
6.2,6.9,35,58,,,,T4
6.3,7.4,24,112,,,,T4
6.1,5.9,32,103,,,,T4
6.2,6.6,28,119,,,,T4
6.5,7,31,120,,,,T4
6.2,7.5,16,92,,,,T4
6.4,5.3,40,54,,,,T4
6.6,7.3,23,114.5,,,,T4
6.3,6,28,105,,,,T4
6.4,7,25.5,114.5,,,,T4
6.4,7.3,26.5,128.5,,,,T4
6.4,6.7,14,100,,,,T4
6.5,6,45.5,58,,,,T4
6.3,6.4,22,100,,,,T4
6.1,5.8,27.5,94.5,,,,T4
6.1,6.5,24.5,110,,,,T4
6.1,6.4,27.5,94.5,,,,T4
6.4,6.2,15.5,78,,,,T4
6.1,4.9,43,39,,,,T4
6.3,6.5,23,105,,,,T4
6.2,5.5,31.5,85,,,,T4
6,6.7,26,105,,,,T4
6.5,6.5,30,120,,,,T4
6.1,6.1,17,90,,,,T4
6.1,4.4,41,40,,,,T4
6.3,7.6,26,125,1095,221,,T4
6.1,6.2,38,110,850,195,,T4
6.2,7,31,125,950,226,,T4
6.3,7.4,34,135,1047,221,,T4
6.2,6.7,20,105,900,226,,T4
5.8,4.9,46,61,750,117,,T4
6.4,6.9,32,125,1000,194,,T4
6.5,6.1,42,100,850,189,,T4
6.3,6.3,34,110,900,184,,T4
6.6,7,39,115,1000,200,,T4
6.3,6.7,20,89,950,205,,T4
6,6.6,45,52,850,121,,T4
6.4,7.2,29,119,1045,205,,T4
6.3,6.5,42,119,894,205,,T4
6.2,6.5,31,124,894,209,,T4
6.5,6.4,37,124,894,190,,T4
6.2,6.1,20,94,842,195,,T4
5.9,4,50,47,579,119,,T4
6.6,6.6,27,100,950,190,,T4
6.5,5.8,33,80,800,185,,T4
6.4,5.7,29.5,90,800,171,,T4
6.7,6,34,100,850,181,,T4
6.3,6,20.5,75,850,190,,T4
6.1,3.9,41,45,600,90,,T4
6.4,7.2,35.5,134.5,1052.5,192.5,,T4
6.2,6.5,41,113.5,926.5,185.5,,T4
6.3,7.3,37.5,118,1052.5,207.5,,T4
6.6,7.3,46.5,113.5,1052.5,207.5,,T4
6.4,6.7,20,80,968.5,203.5,,T4
6,3.8,43.5,40,631.5,70.5,,T4
6.6,6.5,31,108,926.5,191,,T4
6.6,5.7,41,100,763.5,191,,T4
6.3,6.3,35,124,884,191,,T4
7,6.9,40,124,968.5,204.5,,T4
6.6,6.7,24.5,104,926.5,222,,T4
6.2,4.7,43.5,49,727.5,108,,T4
6.6,,62.5,228,968.5,180,,T4
6.6,,42.5,192,1010.5,204,,T4
6.8,,36.5,92.5,926.5,204,,T4
6.8,,29,88.5,968.5,180,,T4
6.7,,73.5,248.5,926.5,200,,T4
6.6,,62.5,156,800,180,,T4
6.6,,40,88.5,842,176,,T4
6.7,,50,84,800,200,,T4
6.3,,50,192,842,176,,T4
6.5,,58,257,926.5,184,,T4
6.4,,40,101,800,160,,T4
6.5,,41.5,118,926.5,188,,T4
6.6,,58,184,884,184,,T4
6.8,,65,236,968.5,184,,T4
6.8,,47,101,926.5,192,,T4
6.7,,39,122,1010.5,176,,T4
6.4,,36.5,196,926.5,200,,T4
6.3,,30,143,926.5,200,,T4
6.1,,30,88.5,926.5,192,,T4
6.5,,26.5,84,968.5,204,,T4
6.1,,86.5,118,762,132,,T4
6.1,,70.5,97,647.5,80,,T4
6.4,,58,40,762,92,,T4
6.3,,54.5,49,724,88,,T4
6.8,,39,101,876,217,,T4
6.4,,55,189.5,914.5,221,,T4
6.5,,42.5,105.5,763.5,204,,T4
6.2,,60,212,800,172,,T4
6.6,,45,106.5,842,212,,T4
6.4,,61.5,324,1263,285.5,,T4
6.9,,49,109.5,842,212,,T4
6.5,,69,236,920,220,,T4
6.7,,25,97,880,228,,T4
